Date,Transaction_ID,Account,Category,Amount,Currency,Description
2023-01-04,TID1031,Credit,Rent,-1696.38,INR,Cab fare
2023-01-13,TID1002,Credit,Utilities,5444.56,INR,Electricity bill
2023-01-14,TID1020,Savings,Salary,7047.1,INR,Dining out
2023-01-16,TID1014,Checking,Salary,1716.75,INR,Electricity bill
2023-01-17,TID1013,Credit,Food,2964.02,INR,Grocery shopping
2023-01-23,TID1048,Checking,Entertainment,2749.54,INR,Salary credited
2023-01-24,TID1063,Checking,Salary,6780.11,INR,Internet charges
2023-02-05,TID1062,Checking,Salary,9034.52,INR,Cab fare
2023-02-06,TID1084,Savings,Transport,4544.99,INR,Salary credited
2023-02-10,TID1053,Savings,Transport,8239.55,INR,Grocery shopping
2023-02-10,TID1067,Checking,Transport,9102.0,INR,Cab fare
2023-02-14,TID1010,Credit,Rent,176.07,INR,Internet charges
2023-02-17,TID1015,Savings,Rent,3293.4,INR,Monthly rent
2023-02-17,TID1041,Credit,Salary,6028.24,INR,Grocery shopping
2023-02-19,TID1043,Savings,Salary,3121.72,INR,Electricity bill
2023-02-21,TID1069,Savings,Utilities,-741.19,INR,Internet charges
2023-02-22,TID1040,Savings,Food,5135.35,INR,Internet charges
2023-02-22,TID1007,Checking,Utilities,9649.22,INR,Movie tickets
2023-02-27,TID1001,Savings,Utilities,-1296.86,INR,Salary credited
2023-03-05,TID1051,Savings,Utilities,9481.29,INR,Salary credited
2023-03-13,TID1006,Credit,Food,-998.28,INR,Grocery shopping
2023-03-21,TID1037,Credit,Salary,963.58,INR,Cab fare
2023-03-23,TID1032,Checking,Transport,5667.24,INR,Cab fare
2023-03-25,TID1090,Savings,Utilities,1515.92,INR,Movie tickets
2023-03-25,TID1075,Checking,Food,-4728.87,INR,Cab fare
2023-03-29,TID1087,Savings,Transport,9683.39,INR,Movie tickets
2023-04-09,TID1060,Checking,Entertainment,8316.55,INR,Movie tickets
2023-04-12,TID1022,Checking,Utilities,9751.35,INR,Salary credited
2023-04-18,TID1078,Credit,Transport,497.03,INR,Cab fare
